,,,,,,,,,,,,,,,,,,,,
"Get the cheapest shipping rates for free!
Start shipping at www.pirateship.com",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
USPS First Class Package International,,,,,,,,,,,,,,,,,,,,
"2022 Commercial Pricing • Effective January 9th, 2022",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"The most affordable USPS service for packages that weigh less than 4 lbs, delivered in 1-4 weeks depending on the receiving country's postal service.",,,,,,,,,,,,,,,,,,,,
Chat with our customer support to request our exclusive Simple Export Rate service & save up to 50% off these rates!,,,,,,,,,,,,,,,,,,,,
"We recommend adding a Declared Value to purchase insurance, just in case packages are lost or damaged.",,,,,,,,,,,,,,,,,,,,
"Use the ""International Country Codes"" to determine which group each country is in.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Commercial Pricing - The cheapest rates USPS offers for this service!,,,,,,,,,,,,,,,,,,,,
"No Monthly Fees - No Markups - No Minimums - Pirate Ship is FREE because we get paid by the carriers, not by you!",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2022 Rates,Canada,Mexico,E. Europe +,Pacific +,Africa,Americas 1,Europe 1,Europe 2,Europe 3,Indo-Asia,Americas 2,Australia +,Brazil,China,France +,Germany,Japan,HK + Korea,Russia,UK
Weight Not Over,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1-8 oz,$14.11,$14.58,$15.53,$15.06,$15.06,$15.06,$14.63,$15.82,$16.53,$15.63,$15.06,$18.24,$19.48,$17.01,$15.34,$15.34,$17.01,$18.00,$14.87,$16.96
9-32 oz,$21.00,$21.47,$28.50,$26.65,$25.18,$26.17,$24.18,$25.18,$27.98,$25.18,$25.18,$29.36,$29.88,$27.41,$24.18,$24.18,$27.41,$27.41,$25.18,$25.79
33-48 oz,$31.97,$32.44,$44.08,$43.94,$40.95,$41.94,$39.47,$40.47,$45.17,$40.52,$40.52,$46.50,$45.08,$42.51,$39.24,$39.24,$42.51,$42.51,$40.14,$40.14
49-64 oz,$43.13,$43.65,$60.04,$59.80,$55.43,$56.43,$53.53,$54.48,$60.99,$55.43,$55.43,$63.89,$60.52,$58.09,$53.53,$53.53,$58.09,$58.09,$55.43,$54.96
