,,,,,,,,,,,,,,,,,,,,
"Get the cheapest shipping rates for free!
Start shipping at www.pirateship.com",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
USPS Priority Mail Express International,,,,,,,,,,,,,,,,,,,,
"2022 Commercial Pricing • Effective January 9th, 2022",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"The fastest international service USPS offers, with delivery in 3-5 days depending on customs.",,,,,,,,,,,,,,,,,,,,
Includes $200 insurance and end-to-end tracking for most countries.,,,,,,,,,,,,,,,,,,,,
"Use the ""International Country Codes"" to determine which group each country is in.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Commercial Pricing - The cheapest rates USPS offers for this service!,,,,,,,,,,,,,,,,,,,,
"No Monthly Fees - No Markups - No Minimums - Pirate Ship is FREE because we get paid by the carriers, not by you!",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2022 Rates,Canada,"Rest of World: Use the ""International Country Codes"" to determine which group each country is in.",,,,,,,,,,,,,,,,,,
Weight Not Over (lbs),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Flat Rate Envelopes,$44.95,$60.95,$66.95,$66.95,$65.95,$70.95,$65.95,$64.95,-,-,-,-,-,-,-,-,-,-,-,-
0.5,$44.95,$57.50,$71.96,$64.47,$66.92,$68.98,$63.98,$67.49,$68.98,$59.94,$59.49,$69.49,$71.98,$65.95,$66.93,$65.98,$65.50,$60.93,$81.98,$66.93
1,$48.93,$62.99,$73.45,$66.42,$68.89,$73.35,$68.93,$74.45,$75.23,$64.72,$64.92,$71.96,$75.96,$67.85,$69.82,$67.99,$71.98,$64.99,$83.50,$70.98
2,$54.14,$67.52,$79.28,$70.75,$73.37,$78.77,$74.02,$81.72,$82.58,$69.79,$70.02,$78.54,$80.89,$74.38,$73.32,$71.20,$77.57,$70.88,$90.13,$75.73
3,$59.36,$72.06,$85.12,$75.06,$77.85,$84.19,$79.11,$89.01,$89.94,$74.84,$75.09,$85.12,$85.82,$80.93,$76.81,$74.42,$83.15,$76.78,$96.77,$80.48
4,$64.57,$76.59,$90.95,$79.38,$82.33,$89.59,$84.20,$96.30,$97.30,$79.90,$80.16,$91.71,$90.76,$87.47,$80.32,$77.63,$88.73,$82.66,$103.40,$85.26
5,$69.79,$81.13,$96.81,$83.68,$86.78,$95.01,$89.29,$103.56,$104.65,$84.96,$85.24,$98.28,$95.68,$94.00,$83.80,$80.83,$94.31,$88.55,$110.05,$90.02
6,$74.93,$83.99,$102.53,$87.92,$91.19,$100.54,$94.76,$110.74,$111.90,$89.62,$89.92,$104.47,$100.82,$99.95,$87.50,$83.95,$99.48,$92.85,$116.49,$93.46
7,$80.13,$87.17,$108.37,$92.23,$95.65,$106.07,$99.98,$118.02,$119.25,$94.36,$94.67,$111.23,$105.85,$106.54,$91.11,$87.06,$104.75,$97.15,$123.13,$97.11
8,$85.35,$90.35,$114.19,$96.55,$100.13,$111.60,$105.19,$125.27,$126.59,$99.10,$99.42,$117.97,$110.91,$113.13,$94.71,$90.17,$110.01,$101.46,$129.74,$100.77
9,$90.56,$93.53,$120.04,$100.85,$104.59,$117.12,$110.39,$132.55,$133.95,$103.83,$104.17,$124.72,$115.95,$119.73,$98.32,$93.27,$115.27,$105.75,$136.38,$104.43
10,$95.76,$96.71,$125.87,$105.17,$109.07,$122.66,$115.61,$139.82,$141.29,$108.56,$108.92,$131.48,$121.01,$126.34,$101.93,$96.39,$120.54,$110.06,$143.00,$108.08
11,$100.18,$99.70,$131.89,$109.37,$113.97,$128.43,$121.06,$147.25,$149.21,$113.20,$113.67,$138.26,$126.22,$133.30,$105.64,$100.12,$124.85,$113.89,$149.74,$112.44
12,$105.17,$102.86,$137.69,$113.69,$118.47,$133.97,$126.28,$154.51,$156.58,$118.03,$118.53,$145.13,$131.27,$140.31,$109.24,$103.85,$129.27,$117.70,$156.33,$116.13
13,$110.13,$106.05,$143.48,$117.98,$122.94,$139.50,$131.49,$161.78,$163.95,$122.86,$123.38,$151.97,$136.33,$147.33,$112.85,$107.59,$133.70,$121.53,$162.90,$119.81
14,$115.10,$109.22,$149.27,$122.29,$127.43,$145.04,$136.71,$169.06,$171.32,$127.69,$128.23,$158.82,$141.39,$154.35,$116.46,$111.34,$138.12,$125.35,$169.46,$123.48
15,$120.06,$112.39,$155.05,$126.60,$131.92,$150.58,$141.95,$176.35,$178.71,$132.53,$133.08,$165.68,$146.42,$161.37,$120.07,$115.08,$142.55,$129.18,$176.03,$127.17
16,$125.05,$115.46,$160.84,$130.90,$136.40,$156.13,$147.17,$183.63,$186.08,$137.37,$137.95,$172.54,$151.49,$168.38,$123.67,$118.82,$146.97,$133.00,$182.61,$130.85
17,$130.01,$118.52,$166.64,$135.21,$140.89,$161.66,$152.38,$190.90,$193.45,$142.20,$142.80,$179.38,$156.54,$175.40,$127.28,$122.55,$151.40,$136.83,$189.18,$134.53
18,$134.97,$121.57,$172.43,$139.51,$145.38,$167.20,$157.60,$198.17,$200.83,$147.03,$147.65,$186.24,$161.60,$182.43,$130.91,$126.30,$155.82,$140.65,$195.76,$138.20
19,$139.95,$124.63,$178.20,$143.83,$149.88,$172.74,$162.83,$205.46,$208.21,$151.87,$152.51,$193.09,$166.64,$189.44,$134.51,$130.03,$160.25,$144.46,$202.33,$141.88
20,$144.92,$127.70,$184.00,$148.13,$154.36,$178.27,$168.05,$212.73,$215.59,$156.71,$157.36,$199.95,$171.70,$196.45,$138.12,$133.77,$164.66,$148.29,$208.90,$145.56
21,$149.75,$130.88,$189.60,$152.29,$158.69,$183.81,$173.43,$220.23,$222.53,$161.38,$161.90,$206.99,$176.74,$202.55,$142.00,$137.51,$168.94,$152.56,$215.44,$149.53
22,$154.71,$133.95,$195.40,$156.59,$163.18,$189.36,$178.67,$227.51,$229.89,$166.21,$166.74,$213.85,$181.81,$208.82,$145.63,$141.25,$173.36,$156.39,$222.03,$153.22
23,$159.68,$137.00,$201.17,$160.90,$167.66,$194.89,$183.89,$234.80,$237.27,$171.03,$171.58,$220.70,$186.85,$215.09,$149.24,$144.99,$177.78,$160.22,$228.59,$156.91
24,$164.65,$140.08,$206.96,$165.20,$172.15,$200.44,$189.12,$242.08,$244.61,$175.87,$176.45,$227.57,$191.90,$221.36,$152.85,$148.72,$182.19,$164.05,$235.16,$160.60
25,$169.61,$143.14,$212.74,$169.50,$176.63,$205.97,$194.33,$249.36,$251.97,$180.70,$181.29,$234.43,$196.96,$227.65,$156.47,$152.47,$186.62,$167.90,$241.73,$164.29
26,$174.57,$146.20,$218.52,$173.80,$181.11,$211.51,$199.57,$256.64,$259.34,$185.52,$186.12,$241.29,$202.02,$233.91,$160.09,$156.21,$191.04,$171.72,$248.30,$167.96
27,$179.54,$149.26,$224.31,$178.12,$185.60,$217.04,$204.80,$263.94,$266.70,$190.35,$190.96,$248.14,$207.06,$240.19,$163.70,$159.95,$195.46,$175.56,$254.88,$171.66
28,$184.51,$152.33,$230.10,$182.42,$190.08,$222.59,$210.03,$271.22,$274.07,$195.19,$195.82,$255.01,$212.11,$246.46,$167.32,$163.69,$199.88,$179.39,$261.46,$175.35
29,$189.47,$155.39,$235.87,$186.71,$194.56,$228.12,$215.25,$278.50,$281.42,$200.02,$200.66,$261.87,$217.17,$252.73,$170.93,$167.42,$204.30,$183.23,$268.02,$179.04
30,$194.44,$158.46,$241.65,$191.02,$199.04,$233.66,$220.47,$285.78,$288.78,$204.84,$205.50,$268.73,$222.22,$259.01,$174.56,$171.17,$208.73,$187.06,$274.59,$182.71
31,$198.37,$161.21,$247.20,$195.13,$203.34,$238.98,$225.93,$293.07,$295.59,$209.46,$210.35,$275.32,$227.28,$265.03,$178.18,$174.73,$212.94,$191.08,$281.12,$187.64
32,$202.51,$164.28,$252.99,$199.44,$207.82,$244.52,$231.16,$300.36,$302.93,$214.31,$215.21,$282.18,$232.32,$271.29,$181.79,$178.47,$217.35,$194.92,$287.71,$191.36
33,$206.63,$167.34,$258.76,$203.72,$212.28,$250.04,$236.38,$307.65,$310.27,$219.12,$220.05,$289.03,$237.38,$277.57,$185.40,$182.20,$221.77,$198.76,$294.28,$195.08
34,$210.75,$170.38,$264.55,$208.03,$216.77,$255.57,$241.61,$314.92,$317.62,$223.94,$224.88,$295.88,$242.43,$283.83,$189.02,$185.95,$226.19,$202.59,$300.84,$198.79
35,$214.87,$173.44,$270.31,$212.33,$221.25,$261.12,$246.86,$322.21,$324.97,$228.76,$229.72,$302.73,$247.49,$290.09,$192.63,$189.68,$230.61,$206.43,$307.41,$202.49
36,$219.01,$176.51,$276.10,$216.63,$225.74,$266.65,$252.09,$329.50,$332.31,$233.60,$234.58,$309.59,$252.53,$296.36,$196.25,$193.41,$235.02,$210.27,$314.00,$206.21
37,$223.13,$179.58,$281.87,$220.92,$230.20,$272.17,$257.31,$336.78,$339.66,$238.42,$239.42,$316.44,$257.59,$302.63,$199.86,$197.15,$239.43,$214.10,$320.56,$209.92
38,$227.25,$182.62,$287.66,$225.23,$234.69,$277.72,$262.54,$344.06,$347.01,$243.24,$244.26,$323.30,$262.65,$308.90,$203.49,$200.89,$243.86,$217.94,$327.13,$213.64
39,$231.37,$185.68,$293.43,$229.52,$239.17,$283.24,$267.77,$351.36,$354.37,$248.06,$249.11,$330.15,$267.70,$315.17,$207.11,$204.62,$248.28,$221.77,$333.70,$217.34
40,$235.51,$188.75,$299.21,$233.83,$243.65,$288.78,$273.02,$358.65,$361.71,$252.89,$253.96,$337.01,$272.75,$321.43,$210.72,$208.35,$252.69,$225.62,$340.27,$221.06
41,$239.40,$192.52,$304.70,$238.11,$249.07,$294.30,$278.25,$366.62,$370.43,$257.24,$257.33,$343.85,$277.01,$327.71,$214.35,$211.89,$256.60,$229.68,$347.68,$226.26
42,$243.52,$195.59,$310.47,$242.42,$253.57,$299.84,$283.48,$373.91,$377.79,$262.04,$262.13,$350.69,$282.05,$333.97,$217.97,$215.63,$261.01,$233.53,$354.27,$229.99
43,$247.63,$198.65,$316.24,$246.72,$258.07,$305.37,$288.71,$381.22,$385.18,$266.86,$266.95,$357.55,$287.08,$340.23,$221.58,$219.35,$265.43,$237.36,$360.85,$233.73
44,$251.76,$201.74,$322.02,$251.02,$262.57,$310.91,$293.94,$388.51,$392.55,$271.68,$271.77,$364.41,$292.12,$346.50,$225.19,$223.09,$269.83,$241.20,$367.44,$237.46
45,$255.88,$204.81,$327.78,$255.31,$267.06,$316.44,$299.17,$395.80,$399.92,$276.50,$276.59,$371.26,$297.16,$352.78,$228.81,$226.82,$274.24,$245.04,$374.02,$241.20
46,$260.00,$207.88,$333.57,$259.61,$271.54,$321.96,$304.40,$403.11,$407.29,$281.31,$281.40,$378.11,$302.21,$359.04,$232.43,$230.56,$278.65,$248.88,$380.62,$244.94
47,$264.12,$210.94,$339.33,$263.91,$276.04,$327.50,$309.64,$410.40,$414.67,$286.11,$286.21,$384.96,$307.24,$365.31,$236.04,$234.28,$283.06,$252.73,$387.19,$248.67
48,$268.25,$214.02,$345.10,$268.21,$280.54,$333.05,$314.88,$417.71,$422.05,$290.94,$291.04,$391.82,$312.27,$371.57,$239.65,$238.01,$287.46,$256.56,$393.79,$252.41
49,$272.37,$217.09,$350.88,$272.51,$285.03,$338.57,$320.10,$425.00,$429.42,$295.76,$295.86,$398.66,$317.32,$377.84,$243.27,$241.75,$291.87,$260.42,$400.37,$256.15
50,$276.48,$220.15,$356.65,$276.80,$289.53,$344.11,$325.33,$432.31,$436.79,$300.57,$300.67,$405.52,$322.36,$384.11,$246.91,$245.49,$296.28,$264.25,$406.96,$259.89
51,$280.60,$222.79,$360.37,$280.84,$293.75,$349.30,$330.57,$439.60,$443.32,$305.09,$305.49,$411.98,$327.38,$390.01,$250.53,$248.28,$300.12,$268.10,$414.87,$263.35
52,$284.73,$225.87,$366.10,$285.13,$298.25,$354.83,$335.80,$446.90,$450.69,$309.90,$310.30,$418.82,$332.42,$396.26,$254.14,$251.99,$304.51,$271.94,$421.46,$267.09
53,$288.85,$228.93,$371.84,$289.43,$302.73,$360.35,$341.04,$454.19,$458.03,$314.71,$315.12,$425.67,$337.46,$402.53,$257.75,$255.70,$308.92,$275.79,$428.07,$270.83
54,$292.97,$231.99,$377.59,$293.72,$307.23,$365.88,$346.28,$461.48,$465.39,$319.52,$319.94,$432.51,$342.51,$408.80,$261.38,$259.43,$313.31,$279.61,$434.69,$274.55
55,$297.09,$235.04,$383.32,$298.02,$311.72,$371.41,$351.50,$468.79,$472.77,$324.34,$324.76,$439.36,$347.54,$415.05,$265.00,$263.15,$317.71,$283.46,$441.28,$278.28
56,$301.22,$238.12,$389.06,$302.31,$316.22,$376.95,$356.74,$476.08,$480.12,$329.16,$329.59,$446.21,$352.57,$421.31,$268.62,$266.86,$322.11,$287.30,$447.90,$282.02
57,$305.33,$241.18,$394.80,$306.61,$320.70,$382.47,$361.96,$483.39,$487.48,$333.96,$334.39,$453.05,$357.61,$427.58,$272.22,$270.58,$326.51,$291.15,$454.51,$285.76
58,$309.45,$244.25,$400.54,$310.90,$325.19,$388.00,$367.19,$490.68,$494.83,$338.77,$339.21,$459.90,$362.66,$433.83,$275.85,$274.30,$330.92,$295.00,$461.12,$289.48
59,$313.57,$247.31,$406.28,$315.20,$329.69,$393.53,$372.43,$497.99,$502.21,$343.58,$344.02,$466.74,$367.69,$440.10,$279.46,$278.01,$335.31,$298.82,$467.72,$293.22
60,$317.70,$250.38,$412.03,$319.49,$334.18,$399.06,$377.67,$505.28,$509.57,$348.40,$348.85,$473.60,$372.72,$446.35,$283.08,$281.74,$339.70,$302.67,$474.33,$296.95
61,$321.51,$253.19,$417.36,$323.47,$338.34,$404.95,$383.26,$513.06,$516.92,$353.21,$353.66,$479.97,$377.40,$452.62,$286.97,$285.45,$343.77,$306.81,$480.71,$302.37
62,$325.62,$256.26,$423.10,$327.76,$342.83,$410.49,$388.50,$520.36,$524.28,$358.01,$358.47,$486.81,$382.43,$458.89,$290.60,$289.17,$348.17,$310.66,$487.31,$306.12
63,$329.74,$259.31,$428.83,$332.05,$347.32,$416.03,$393.74,$527.68,$531.65,$362.82,$363.29,$493.64,$387.46,$465.14,$294.23,$292.88,$352.57,$314.50,$493.91,$309.88
64,$333.86,$262.39,$434.57,$336.35,$351.81,$421.56,$398.97,$534.99,$539.01,$367.64,$368.12,$500.49,$392.50,$471.40,$297.84,$296.61,$356.96,$318.35,$500.53,$313.64
65,$337.98,$265.44,$440.29,$340.63,$356.29,$427.09,$404.21,$542.28,$546.36,$372.45,$372.93,$507.34,$397.53,$477.67,$301.47,$300.32,$361.35,$322.19,$507.11,$317.39
