,,,,,,,,,,,,,,,,,,,,,
"Get the cheapest shipping rates for free!
Start shipping at www.pirateship.com",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
USPS Priority Mail International,,,,,,,,,,,,,,,,,,,,,
"2022 Commercial Pricing • Effective January 9th, 2022",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"The cheapest USPS international service if your shipments are over 4 lb, or if you want them to arrive faster within 6-10 days.",,,,,,,,,,,,,,,,,,,,,
Includes $200 insurance and end-to-end tracking for most countries.,,,,,,,,,,,,,,,,,,,,,
"Use the ""International Country Codes"" to determine which group each country is in.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Commercial Pricing - The cheapest rates USPS offers for this service!,,,,,,,,,,,,,,,,,,,,,
"No Monthly Fees - No Markups - No Minimums - Pirate Ship is FREE because we get paid by the carriers, not by you!",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
2022 Rates,Canada,"Rest of World: Use the ""International Country Codes"" to determine which group each country is in.",,,,,,,,,,,,,,,,,,,
Weight Not Over (lbs),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,
Flat Rate Envelopes,$28.13,$35.01,$38.81,$37.72,$39.19,$39.62,$40.04,$38.43,-,-,-,-,-,-,-,-,-,-,-,-,
Small Flat Rate Box,$29.17,$36.62,$40.04,$38.90,$40.33,$40.66,$42.70,$39.62,-,-,-,-,-,-,-,-,-,-,-,-,
Medium Flat Rate Box,$53.94,$78.71,$80.32,$79.56,$82.56,$88.68,$93.15,$83.89,-,-,-,-,-,-,-,-,-,-,-,-,
Large Flat Rate Box,$70.13,$102.70,$104.88,$103.79,$107.11,$112.05,$116.52,$109.92,-,-,-,-,-,-,-,-,-,-,-,-,
1,$37.47,$46.36,$56.76,$53.25,$53.49,$54.34,$53.87,$56.62,$54.96,$49.35,$49.54,$54.96,$50.73,$56.15,$49.59,$52.73,$55.91,$51.40,$57.52,$57.00,
2,$40.46,$49.35,$62.42,$56.53,$56.81,$59.00,$58.43,$63.32,$61.51,$53.68,$53.68,$60.61,$55.34,$60.52,$53.30,$54.86,$59.80,$57.52,$63.32,$63.08,
3,$43.40,$52.39,$68.12,$59.76,$60.04,$63.60,$63.03,$70.02,$68.07,$58.09,$57.81,$66.22,$59.85,$64.79,$57.00,$58.66,$63.70,$61.80,$69.07,$67.17,
4,$46.34,$55.43,$73.77,$63.03,$63.32,$68.26,$67.59,$76.76,$74.58,$62.42,$61.94,$71.87,$64.41,$69.11,$60.71,$62.51,$67.59,$66.12,$74.81,$71.25,
5,$48.81,$58.47,$79.47,$66.26,$66.64,$72.91,$72.20,$83.51,$81.08,$66.79,$66.03,$77.47,$68.92,$73.39,$64.41,$66.31,$71.54,$70.49,$80.61,$76.62,
6,$51.72,$61.51,$85.12,$69.54,$69.87,$77.52,$76.81,$90.20,$87.64,$71.16,$70.16,$83.13,$73.53,$77.66,$68.07,$70.11,$75.43,$74.86,$86.31,$80.70,
7,$54.63,$64.55,$90.82,$72.87,$73.15,$82.18,$81.37,$96.95,$94.15,$75.53,$74.29,$88.68,$78.09,$81.99,$71.77,$73.91,$79.33,$79.33,$92.10,$84.74,
8,$58.15,$67.55,$96.47,$76.10,$76.43,$86.83,$85.98,$103.69,$100.75,$79.90,$78.42,$94.34,$82.60,$86.26,$75.48,$77.71,$83.22,$83.79,$97.80,$88.83,
9,$61.09,$70.63,$102.17,$79.37,$79.71,$91.44,$90.58,$110.39,$107.26,$84.27,$82.51,$99.94,$87.16,$90.58,$79.18,$81.51,$87.12,$88.35,$103.60,$92.91,
10,$64.03,$73.63,$107.83,$82.60,$83.03,$96.05,$95.14,$117.14,$113.76,$88.64,$86.64,$105.55,$91.77,$94.86,$82.84,$85.31,$91.01,$92.86,$109.35,$97.04,
11,$66.97,$76.67,$113.53,$85.88,$86.26,$100.70,$99.75,$123.83,$120.32,$92.96,$90.77,$111.20,$96.28,$99.13,$85.17,$87.73,$94.91,$96.00,$115.09,$101.13,
12,$69.91,$79.71,$119.13,$89.11,$89.54,$105.31,$104.31,$130.58,$126.83,$97.38,$94.86,$116.76,$100.84,$103.46,$87.54,$90.16,$98.80,$99.09,$120.89,$105.21,
13,$72.85,$82.70,$124.83,$92.39,$92.82,$109.96,$108.92,$137.28,$133.33,$101.70,$98.99,$122.41,$105.36,$107.73,$91.01,$93.72,$102.70,$103.50,$126.64,$109.30,
14,$75.84,$85.79,$130.48,$95.67,$96.09,$114.62,$113.53,$144.02,$139.94,$106.12,$103.08,$128.01,$109.96,$112.05,$94.48,$97.28,$106.59,$107.92,$132.38,$113.43,
15,$78.78,$88.78,$136.18,$98.90,$99.42,$119.23,$118.09,$150.77,$146.44,$110.44,$107.26,$133.67,$114.48,$116.33,$97.90,$100.84,$110.49,$112.43,$138.13,$117.47,
16,$81.72,$91.87,$141.84,$102.17,$102.65,$123.88,$122.69,$157.46,$153.00,$114.86,$111.34,$139.27,$119.04,$120.60,$101.32,$104.36,$114.38,$116.90,$143.88,$121.55,
17,$84.65,$94.86,$147.54,$105.40,$105.93,$128.54,$127.30,$164.21,$159.51,$119.18,$115.47,$144.83,$123.64,$124.93,$104.79,$107.92,$118.28,$121.51,$149.63,$125.64,
18,$87.60,$97.90,$153.19,$108.68,$109.20,$133.14,$131.86,$170.91,$166.01,$123.60,$119.56,$150.48,$128.16,$129.20,$108.25,$111.48,$122.22,$126.11,$155.42,$129.77,
19,$90.54,$100.94,$158.89,$111.91,$112.48,$137.75,$136.47,$177.65,$172.57,$127.92,$123.74,$156.09,$132.72,$133.48,$111.67,$115.05,$126.11,$130.72,$161.12,$133.86,
20,$93.53,$103.98,$164.54,$115.19,$115.71,$142.41,$141.03,$184.40,$179.12,$132.34,$127.82,$161.74,$137.23,$137.80,$115.14,$118.61,$130.01,$134.66,$166.92,$137.94,
21,$96.47,$107.02,$170.24,$118.51,$119.04,$147.01,$145.64,$191.09,$185.68,$136.66,$131.96,$167.34,$141.84,$142.07,$118.61,$122.17,$133.90,$138.46,$172.66,$142.03,
22,$99.40,$110.01,$175.89,$121.74,$122.31,$151.67,$150.24,$197.84,$192.19,$141.03,$136.09,$173.00,$146.40,$146.40,$122.03,$125.69,$137.80,$142.45,$178.41,$146.11,
23,$102.35,$113.05,$181.55,$125.02,$125.59,$156.32,$154.80,$204.58,$198.69,$145.40,$140.22,$178.55,$150.91,$150.67,$125.50,$129.25,$141.69,$146.35,$184.21,$150.20,
24,$105.29,$116.09,$187.25,$128.25,$128.87,$160.93,$159.41,$211.28,$205.25,$149.77,$144.31,$184.21,$155.47,$154.95,$128.96,$132.81,$145.59,$150.24,$189.91,$154.28,
25,$108.23,$119.13,$192.90,$131.53,$132.10,$165.59,$164.02,$217.98,$211.76,$154.14,$148.44,$189.81,$160.03,$159.27,$132.38,$136.37,$149.48,$154.14,$195.70,$156.47,
26,$111.21,$122.17,$198.60,$134.81,$135.42,$170.24,$168.58,$224.77,$218.36,$158.51,$152.57,$195.42,$164.59,$163.54,$135.80,$139.94,$153.38,$158.03,$201.45,$158.60,
27,$114.15,$125.21,$204.25,$138.04,$138.70,$174.85,$173.19,$231.47,$224.87,$162.88,$156.66,$201.07,$169.15,$167.87,$139.27,$143.45,$157.27,$161.88,$207.20,$162.12,
28,$117.10,$128.20,$209.95,$141.31,$141.98,$179.46,$177.75,$238.17,$231.37,$167.20,$160.79,$206.63,$173.66,$172.14,$142.74,$147.01,$161.17,$165.78,$212.94,$165.59,
29,$120.04,$131.29,$215.60,$144.54,$145.26,$184.06,$182.35,$244.91,$237.93,$171.62,$164.87,$212.28,$178.27,$176.42,$146.21,$150.58,$165.06,$169.77,$218.69,$169.05,
30,$122.97,$134.28,$221.30,$147.82,$148.49,$188.72,$186.96,$251.66,$244.44,$175.94,$169.05,$217.88,$182.78,$180.74,$149.63,$154.14,$169.01,$173.66,$224.44,$172.47,
31,$125.91,$137.37,$226.96,$151.05,$151.81,$193.37,$191.52,$258.35,$250.94,$180.36,$173.14,$223.54,$187.34,$185.01,$153.09,$157.70,$172.90,$177.56,$230.23,$175.94,
32,$128.90,$140.36,$232.66,$154.33,$155.09,$197.98,$196.13,$265.05,$257.55,$184.68,$177.27,$229.14,$191.90,$189.34,$156.56,$161.22,$176.80,$181.45,$235.93,$179.41,
33,$131.85,$143.36,$238.31,$157.61,$158.32,$202.64,$200.74,$271.84,$264.05,$189.05,$181.36,$234.79,$196.46,$193.61,$159.98,$164.78,$180.69,$185.30,$241.73,$182.83,
34,$134.79,$146.44,$244.01,$160.84,$161.64,$207.29,$205.30,$278.54,$270.61,$193.42,$185.54,$240.35,$201.02,$197.89,$163.45,$168.34,$184.59,$189.24,$247.52,$186.30,
35,$137.72,$149.44,$249.66,$164.16,$164.87,$211.90,$209.90,$285.24,$277.12,$197.79,$189.62,$245.96,$205.53,$202.21,$166.87,$171.90,$188.48,$193.14,$253.22,$189.76,
36,$140.66,$152.52,$255.36,$167.39,$168.20,$216.55,$214.46,$291.98,$283.62,$202.16,$193.75,$251.61,$210.14,$206.48,$170.34,$175.47,$192.38,$197.03,$259.02,$193.23,
37,$143.61,$155.52,$261.01,$170.67,$171.43,$221.16,$219.07,$298.73,$290.18,$206.53,$197.84,$257.21,$214.70,$210.81,$173.76,$178.98,$196.27,$200.93,$264.72,$196.70,
38,$146.60,$158.56,$266.71,$173.90,$174.71,$225.77,$223.68,$305.43,$296.69,$210.90,$202.02,$262.87,$219.21,$215.08,$177.22,$182.54,$200.17,$204.82,$270.51,$200.17,
39,$149.53,$161.60,$272.37,$177.18,$178.03,$230.42,$228.24,$312.17,$303.29,$215.27,$206.10,$268.42,$223.77,$219.36,$180.69,$186.11,$204.06,$208.72,$276.26,$203.63,
40,$152.47,$164.64,$278.07,$180.45,$181.26,$235.08,$232.85,$318.92,$309.80,$219.64,$210.24,$274.08,$228.33,$223.68,$184.16,$189.67,$207.96,$212.56,$282.01,$207.10,
41,$155.41,$167.63,$283.72,$183.68,$184.59,$239.69,$237.45,$325.61,$316.30,$224.01,$214.32,$279.68,$232.89,$227.95,$187.58,$193.23,$211.85,$216.46,$287.76,$210.52,
42,$158.36,$170.72,$289.42,$186.96,$187.82,$244.34,$242.01,$332.36,$322.86,$228.33,$218.50,$285.29,$237.45,$232.28,$191.05,$196.75,$215.79,$220.35,$293.50,$213.99,
43,$161.29,$173.71,$295.07,$190.19,$191.09,$249.00,$246.62,$339.06,$329.37,$232.75,$222.59,$290.94,$241.97,$236.55,$194.51,$200.31,$219.69,$224.25,$299.25,$217.46,
44,$164.28,$176.75,$300.77,$193.47,$194.42,$253.60,$251.23,$345.80,$335.92,$237.07,$226.67,$296.54,$246.57,$240.83,$197.93,$203.87,$223.58,$228.14,$305.05,$220.92,
45,$167.22,$179.79,$306.42,$196.70,$197.65,$258.26,$255.79,$352.55,$342.48,$241.49,$230.80,$302.15,$251.09,$245.15,$201.35,$207.43,$227.48,$232.04,-,$224.34,
46,$170.16,$182.78,$312.12,$199.98,$200.93,$262.87,$260.40,$359.24,$348.98,$245.81,$234.94,$307.75,$255.65,$249.42,$204.82,$211.00,$231.37,$236.08,-,$227.81,
47,$173.11,$185.87,$317.78,$203.25,$204.20,$267.47,$264.96,$365.99,$355.54,$250.23,$239.07,$313.41,$260.21,$253.70,$208.29,$214.56,$235.27,$239.97,-,$231.33,
48,$176.04,$188.86,$323.48,$206.53,$207.48,$272.13,$269.56,$372.73,$362.05,$254.55,$243.15,$319.01,$264.77,$258.02,$211.71,$218.07,$239.16,$243.87,-,$234.79,
49,$178.98,$191.95,$329.13,$209.81,$210.81,$276.78,$274.17,$379.43,$368.55,$258.97,$247.29,$324.66,$269.33,$262.30,$215.18,$221.64,$243.06,$247.76,-,$238.21,
50,$181.97,$194.94,$334.83,$213.04,$214.04,$281.39,$278.73,$386.13,$375.11,$263.29,$251.42,$330.22,$273.84,$266.62,$218.64,$225.20,$246.95,$251.66,-,$241.68,
51,$184.91,$197.98,$340.43,$216.32,$217.31,$286.05,$283.34,$392.87,$381.66,$267.62,$255.55,$335.83,$278.45,$270.89,$222.06,$228.76,$250.85,$255.55,-,$245.15,
52,$187.85,$201.02,$346.13,$219.59,$220.59,$290.70,$287.95,$399.62,$388.22,$272.03,$259.64,$341.48,$283.01,$275.17,$225.53,$232.32,$254.74,$259.40,-,$248.57,
53,$190.79,$204.06,$351.79,$222.82,$223.87,$295.31,$292.51,$406.32,$394.73,$276.36,$263.77,$347.08,$287.52,$279.49,$229.00,$235.84,$258.64,$263.29,-,$252.04,
54,$193.73,$207.10,$357.44,$226.10,$227.19,$299.92,$297.11,$413.06,$401.23,$280.77,$267.90,$352.74,$292.08,$283.81,$232.42,$239.40,$262.53,$267.19,-,$255.50,
55,$196.67,$210.09,$363.14,$229.33,$230.42,$304.57,$301.67,$419.81,$407.79,$285.10,$272.03,$358.29,$296.64,$288.14,$235.84,$242.96,$266.48,$271.08,-,$258.97,
56,$199.66,$213.13,$368.79,$232.61,$233.70,$309.18,$306.28,$426.50,$414.30,$289.51,$276.12,$363.95,$301.20,$292.41,$239.31,$246.53,$270.37,$274.98,-,$262.39,
57,$202.60,$216.17,$374.49,$235.84,$236.98,$313.83,$310.89,$433.20,$420.90,$293.84,$280.25,$369.55,$305.76,$296.69,$242.77,$250.09,$274.27,$278.87,-,$265.91,
58,$205.54,$219.21,$380.14,$239.12,$240.26,$318.49,$315.45,$439.99,$427.41,$298.25,$284.38,$375.16,$310.27,$301.01,$246.24,$253.60,$278.16,$282.72,-,$269.37,
59,$208.48,$222.25,$385.84,$242.39,$243.53,$323.10,$320.06,$446.69,$433.91,$302.58,$288.52,$380.81,$314.88,$305.28,$249.66,$257.17,$282.06,$286.66,-,$272.84,
60,$211.42,$225.29,$391.50,$245.62,$246.81,$327.75,$324.66,$453.39,$440.47,$306.99,$292.60,$386.41,$319.39,$309.61,$253.13,$260.73,$285.95,$290.56,-,$276.26,
61,$214.36,$228.29,$397.20,$248.90,$250.09,$332.41,$329.22,$460.13,$446.98,$311.32,$296.69,$392.02,$323.95,$313.88,$256.60,$264.29,$289.85,$294.45,-,$279.73,
62,$217.35,$231.37,$402.85,$252.18,$253.37,$337.01,$333.83,$466.88,$453.48,$315.69,$300.87,$397.62,$328.51,$318.16,$260.02,$267.85,$293.74,$298.44,-,$283.20,
63,$220.29,$234.37,$408.55,$255.46,$256.64,$341.62,$338.39,$473.58,$460.09,$320.06,$304.95,$403.28,$333.07,$322.48,$263.48,$271.37,$297.64,$302.34,-,$286.66,
64,$223.23,$237.45,$414.20,$258.69,$259.87,$346.28,$343.00,$480.32,$466.59,$324.43,$309.08,$408.88,$337.63,$326.75,$266.90,$274.93,$301.53,$306.23,-,$290.08,
