,,,,,,,,,
"Get the cheapest shipping rates for free!
Start shipping at www.pirateship.com",,,,,,,,,
,,,,,,,,,
Priority Mail - Service Comparison,,,,,,,,,
2022 Pirate Ship Rates • Effective May 2022,,,,,,,,,
,,,,,,,,,
"Priority Mail has 4 different sub-services. They all have the same delivery standards, with 1-3 day delivery and $100 insurance included.",,,,,,,,,
,,,,,,,,,
Flat Rate & Regional Rate require you to use the USPS-supplied branded packaging made specifically for those services.,,,,,,,,,
Only Small Flat Rate Boxes or Flat Rate Envelopes are cheaper than using your own similarly-sized packaging.,,,,,,,,,
Regional Rate is always more expensive than using your own packaging.,,,,,,,,,
,,,,,,,,,
Pirate Ship automatically rate shops between dimension-based Priority Mail Cubic and Priority Mail Weight-Based.,,,,,,,,,
Priority Mail Cubic is the cheapest service if your package is small enough to qualify (make it small as possible!),,,,,,,,,
"Priority Mail Cubic is based on dimensions, so you can ship up to 20 lbs for no extra cost.",,,,,,,,,
"Use our Cubic Calculator to determine which tier your package is in, or round down the dimensions to the nearest quarter inch and calculate: ",,,,,,,,,
"For boxes: Length x Width x Height / 1728 = Cubic Feet (Maximum 18"" in any dimension)",,,,,,,,,
For envelopes: Length + Width = Lookup Cubic Tier,,,,,,,,,
,,,,,,,,,
"If you want to save more money and are okay with a longer 2-8 day delivery estimate, use Parcel Select Ground instead.",,,,,,,,,
,,,,,,,,,
BELOW Commercial Pricing - The cheapest rates available for this service!,,,,,,,,,
"No Monthly Fees - No Markups - No Minimums - Pirate Ship is FREE because we get paid by the carriers, not by you!",,,,,,,,,
,,,,,,,,,
We can't advertise the highlighted rates because they're UP TO $1.02 CHEAPER than Commercial Pricing!,,,,,,,,,
Create a free Pirate Ship account and get a quick rate quote to see how much you'll save on Priority Mail,,,,,,,,,
May 2022 Rates,National Averages,0-150 miles,150-300 miles,300-600 miles,600-1000 miles,1000-1400 miles,1400-1800 miles,1800+ miles,Territories
,,"L, 1 & 2",Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8,Zone 9
,Less than,Less than,Less than,Less than,Less than,Less than,Less than,Less than,Less than
Flat Rate Envelopes,$7.75,$7.75,$7.75,$7.75,$7.75,$7.75,$7.75,$7.75,$7.75
,Less than,Less than,Less than,Less than,Less than,Less than,Less than,Less than,Less than
Legal Flat Rate Envelope,$8.05,$8.05,$8.05,$8.05,$8.05,$8.05,$8.05,$8.05,$8.05
,Less than,Less than,Less than,Less than,Less than,Less than,Less than,Less than,Less than
Padded Flat Rate Envelope,$8.45,$8.45,$8.45,$8.45,$8.45,$8.45,$8.45,$8.45,$8.45
,Less than,Less than,Less than,Less than,Less than,Less than,Less than,Less than,Less than
Small Flat Rate Box,$8.25,$8.25,$8.25,$8.25,$8.25,$8.25,$8.25,$8.25,$8.25
,Less than,Less than,Less than,Less than,Less than,Less than,Less than,Less than,Less than
Medium Flat Rate Boxes,$14.25,$14.25,$14.25,$14.25,$14.25,$14.25,$14.25,$14.25,$14.25
,Less than,Less than,Less than,Less than,Less than,Less than,Less than,Less than,Less than
Large Flat Rate Boxes,$19.20,$19.20,$19.20,$19.20,$19.20,$19.20,$19.20,$19.20,$19.20
Regional Rate Box A,Less than,Less than,Less than,Less than,Less than,Less than,,,
,$10.25,$8.38,$8.58,$8.88,$9.55,$11.55,$12.32,$13.54,$26.37
Regional Rate Box B,Less than,Less than,Less than,Less than,,,,,
,$13.86,$8.88,$9.37,$10.12,$12.47,$16.61,$19.59,$22.51,$44.02
Cubic Tier 0.1,Less than,Less than,Less than,Less than,Less than,Less than,,,
,$8.66,$7.54,$7.81,$8.05,$8.37,$9.18,$9.77,$10.43,$18.56
Cubic Tier 0.2,Less than,Less than,Less than,Less than,Less than,Less than,,,
,$9.73,$8.02,$8.20,$8.49,$9.12,$10.96,$11.62,$12.67,$25.09
Cubic Tier 0.3,Less than,Less than,Less than,Less than,Less than,,,,
,$11.54,$8.25,$8.62,$9.01,$10.03,$13.48,$15.22,$17.93,$34.46
Cubic Tier 0.4,Less than,Less than,Less than,Less than,,,,,
,$13.20,$8.37,$8.85,$9.57,$11.83,$15.92,$18.73,$21.59,$42.67
Cubic Tier 0.5,Less than,Less than,Less than,Less than,,,,,
,$14.78,$8.50,$9.07,$10.04,$13.18,$17.79,$22.31,$25.74,$51.21
1 lb,Less than,Less than,Less than,Less than,Less than,Less than,,,
,$8.29,$7.37,$7.68,$7.90,$8.12,$8.59,$9.16,$9.68,$16.39
2 lb,Less than,Less than,Less than,Less than,Less than,Less than,,,
,$9.73,$8.02,$8.20,$8.49,$9.12,$10.96,$11.62,$12.66,$25.08
3 lb,Less than,Less than,Less than,Less than,Less than,,,,
,$11.44,$8.24,$8.60,$8.98,$9.93,$13.34,$15.03,$17.74,$34.03
4 lb,Less than,Less than,Less than,Less than,,,,,
,$12.88,$8.34,$8.84,$9.49,$11.54,$15.54,$18.03,$20.77,$40.97
5 lb,Less than,Less than,Less than,Less than,,,,,
,$14.13,$8.45,$8.89,$9.82,$12.71,$17.03,$20.81,$24.01,$47.68
6 lb,Less than,Less than,Less than,Less than,,,,,
,$15.41,$8.56,$9.25,$10.25,$13.63,$18.53,$23.78,$27.43,$54.64
7 lb,Less than,Less than,Less than,Less than,,,,,
,$16.58,$9.04,$10.21,$10.82,$14.50,$20.02,$25.80,$29.82,$61.35
8 lb,Less than,Less than,Less than,Less than,,,,,
,$17.75,$9.18,$10.71,$12.07,$15.38,$21.53,$27.81,$32.21,$68.87
9 lb,Less than,Less than,Less than,Less than,,,,,
,$18.96,$9.79,$11.08,$12.57,$16.64,$23.03,$29.83,$34.59,$76.59
10 lb,Less than,Less than,Less than,Less than,,,,,
,$20.07,$10.29,$11.55,$12.92,$17.74,$24.52,$31.84,$36.77,$83.29
11 lb,$21.47,$11.75,$12.46,$13.64,$18.84,$26.02,$33.80,$38.93,$91.00
12 lb,$22.61,$12.21,$12.99,$14.32,$19.92,$27.51,$35.63,$41.10,$97.55
13 lb,$23.69,$12.46,$13.36,$15.02,$21.00,$28.99,$37.46,$43.27,$101.04
14 lb,$24.78,$12.77,$13.95,$15.71,$22.07,$30.36,$39.29,$45.44,$106.04
15 lb,$25.84,$12.89,$14.55,$16.40,$23.14,$31.71,$41.13,$47.62,$108.85
16 lb,$26.97,$13.40,$15.14,$17.09,$24.21,$33.08,$42.96,$49.78,$114.83
17 lb,$28.11,$13.91,$15.73,$17.78,$25.27,$34.43,$44.80,$51.95,$120.88
18 lb,$29.24,$14.43,$16.32,$18.47,$26.34,$35.79,$46.62,$54.12,$126.97
19 lb,$30.38,$14.94,$16.92,$19.15,$27.40,$37.16,$48.46,$56.28,$133.00
20 lb,$31.51,$15.45,$17.51,$19.84,$28.46,$38.51,$50.29,$58.46,$139.13
21 lb,$33.06,$16.39,$18.76,$21.44,$30.04,$40.58,$52.14,$60.31,$142.09
22 lb,$34.69,$17.39,$20.11,$23.16,$31.71,$42.76,$54.06,$62.21,$143.75
23 lb,$36.41,$18.44,$21.56,$25.03,$33.48,$45.06,$56.04,$64.17,$144.60
24 lb,$38.22,$19.56,$23.10,$27.04,$35.34,$47.48,$58.10,$66.19,$148.13
25 lb,$40.13,$20.75,$24.76,$29.22,$37.30,$50.03,$60.24,$68.28,$150.68
26 lb,$50.38,$23.72,$29.46,$37.96,$49.42,$62.94,$74.61,$85.90,$155.40
27 lb,$52.78,$25.16,$30.81,$40.31,$53.92,$63.81,$76.51,$89.10,$161.28
28 lb,$54.26,$25.95,$31.23,$41.47,$55.35,$64.70,$78.34,$92.66,$167.33
29 lb,$55.49,$26.75,$31.56,$42.61,$56.10,$65.81,$80.19,$95.28,$171.80
30 lb,$56.71,$27.56,$32.02,$43.61,$56.87,$67.70,$82.01,$97.32,$175.52
31 lb,$57.80,$28.36,$32.34,$44.31,$57.61,$68.70,$83.86,$99.59,$180.55
32 lb,$58.73,$28.69,$33.04,$45.06,$58.29,$69.62,$85.72,$101.40,$184.23
33 lb,$59.89,$29.14,$33.97,$46.19,$59.07,$71.00,$87.54,$103.50,$187.63
34 lb,$61.14,$29.41,$34.87,$47.38,$60.36,$72.74,$89.39,$105.54,$191.19
35 lb,$62.29,$29.75,$35.70,$48.06,$61.66,$74.72,$91.22,$107.17,$194.44
36 lb,$63.46,$30.12,$36.76,$48.71,$63.01,$76.65,$92.49,$109.09,$197.75
37 lb,$64.55,$30.44,$37.45,$49.41,$64.14,$78.70,$93.71,$110.96,$201.02
38 lb,$65.69,$30.74,$38.37,$50.04,$65.44,$80.93,$94.80,$112.82,$204.23
39 lb,$66.92,$31.05,$39.29,$50.62,$66.81,$82.88,$97.37,$114.57,$207.39
40 lb,$68.04,$31.37,$40.12,$51.29,$68.21,$84.24,$99.59,$116.21,$210.20
41 lb,$69.03,$31.72,$40.80,$51.84,$68.82,$85.68,$101.77,$118.07,$214.92
42 lb,$69.95,$31.96,$41.12,$52.30,$69.99,$87.22,$103.19,$119.58,$217.86
43 lb,$70.93,$32.34,$41.42,$52.77,$71.16,$89.35,$104.50,$120.87,$220.64
44 lb,$71.85,$32.57,$41.72,$53.23,$72.32,$90.80,$105.78,$122.61,$223.19
45 lb,$72.68,$32.78,$42.03,$53.71,$73.49,$91.82,$106.94,$124.13,$226.01
46 lb,$73.53,$33.08,$42.34,$54.18,$74.66,$92.87,$108.12,$125.59,$228.69
47 lb,$74.36,$33.32,$42.64,$54.64,$75.83,$93.85,$109.38,$127.10,$231.25
48 lb,$75.18,$33.60,$42.95,$55.12,$76.98,$95.07,$110.45,$128.38,$233.77
49 lb,$76.02,$33.87,$43.24,$55.59,$78.16,$96.40,$111.63,$129.66,$236.05
50 lb,$76.89,$34.01,$43.54,$56.07,$79.34,$97.77,$113.08,$131.06,$238.58
51 lb,$77.86,$34.52,$43.85,$56.50,$80.70,$99.14,$114.73,$132.35,$242.72
52 lb,$78.69,$35.04,$44.16,$56.98,$81.27,$100.11,$116.49,$133.85,$245.56
53 lb,$79.61,$35.70,$44.46,$57.45,$81.94,$100.97,$118.44,$135.61,$248.70
54 lb,$80.50,$36.23,$44.77,$57.91,$82.65,$101.70,$120.16,$137.58,$252.18
55 lb,$81.39,$36.80,$45.06,$58.38,$83.18,$102.56,$122.11,$139.39,$255.58
56 lb,$82.18,$37.32,$45.38,$58.85,$83.82,$103.24,$123.82,$140.85,$258.22
57 lb,$82.83,$37.92,$45.68,$59.32,$84.32,$104.05,$124.63,$141.85,$260.53
58 lb,$83.52,$38.50,$45.98,$59.78,$84.86,$104.67,$125.79,$143.07,$262.64
59 lb,$84.14,$39.06,$46.29,$60.24,$85.37,$105.27,$126.59,$144.11,$264.60
60 lb,$84.71,$39.55,$46.59,$60.70,$85.86,$105.81,$127.40,$145.04,$266.46
61 lb,$85.56,$40.20,$46.88,$61.17,$86.28,$106.41,$128.90,$147.09,$270.08
62 lb,$86.43,$40.71,$47.19,$61.63,$86.67,$106.91,$130.47,$149.54,$274.33
63 lb,$87.29,$41.45,$47.50,$62.11,$87.13,$107.53,$131.11,$151.98,$278.74
64 lb,$88.04,$41.82,$47.80,$62.58,$87.52,$108.02,$131.71,$154.37,$283.03
65 lb,$88.79,$42.43,$48.10,$63.07,$87.79,$108.34,$132.39,$156.70,$287.45
66 lb,$89.59,$43.00,$48.42,$63.52,$88.19,$108.89,$132.79,$159.21,$291.63
67 lb,$90.39,$43.65,$48.72,$64.61,$88.51,$109.24,$133.33,$161.25,$295.47
68 lb,$91.20,$44.16,$49.01,$65.42,$88.75,$110.64,$134.04,$162.99,$298.60
69 lb,$92.04,$44.77,$49.33,$66.27,$89.02,$111.99,$134.67,$164.75,$301.79
70 lb,$92.88,$45.24,$49.63,$67.32,$89.31,$113.36,$135.17,$166.61,$305.03
