,,,,,,,,,
"Get the cheapest shipping rates for free!
Start shipping at www.pirateship.com",,,,,,,,,
,,,,,,,,,
USPS Priority Mail Express,,,,,,,,,
"2022 Commercial Pricing • Effective January 9th, 2022",,,,,,,,,
,,,,,,,,,
"The fastest service USPS offers, with guaranteed date-certain delivery if dropped off before the daily cutoff.",,,,,,,,,
"Note that it is only 1 day delivery to and from urban areas, with 2 day delivery to or from rural areas.",,,,,,,,,
Packages exceeding 1 cubic foot are charged the dimensional weight (Length x Width x Height / 166) if greater than the actual weight.,,,,,,,,,
,,,,,,,,,
Commercial Pricing - The cheapest rates USPS offers for this service!,,,,,,,,,
"No Monthly Fees - No Markups - No Minimums - Pirate Ship is FREE because we get paid by the carriers, not by you!",,,,,,,,,
,,,,,,,,,
2022 Rates,National Averages,0-150 miles,150-300 miles,300-600 miles,600-1000 miles,1000-1400 miles,1400-1800 miles,1800+ miles,Territories
Weight Not Over (lbs),,"L, 1 & 2",Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8,Zone 9
Flat Rate Envelope,$23.50,$23.50,$23.50,$23.50,$23.50,$23.50,$23.50,$23.50,$23.50
Legal Flat Rate Envelope,$23.75,$23.75,$23.75,$23.75,$23.75,$23.75,$23.75,$23.75,$23.75
Padded Flat Rate Envelope,$23.95,$23.95,$23.95,$23.95,$23.95,$23.95,$23.95,$23.95,$23.95
0.5,$28.64,$23.50,$24.05,$25.80,$28.80,$30.95,$33.15,$35.95,$48.90
1,$32.64,$23.75,$26.00,$29.50,$34.05,$36.85,$39.30,$42.15,$57.30
2,$36.65,$24.05,$28.00,$33.20,$39.30,$42.75,$45.45,$48.35,$65.70
3,$40.66,$24.30,$29.95,$36.90,$44.60,$48.65,$51.60,$54.50,$74.10
4,$44.67,$24.60,$31.95,$40.60,$49.85,$54.55,$57.75,$60.70,$82.50
5,$48.67,$24.85,$33.90,$44.30,$55.10,$60.45,$63.90,$66.90,$90.90
6,$53.52,$27.40,$37.25,$49.20,$60.60,$66.15,$70.05,$73.35,$99.65
7,$58.38,$29.95,$40.65,$54.15,$66.10,$71.85,$76.25,$79.80,$108.35
8,$63.22,$32.50,$44.00,$59.05,$71.65,$77.50,$82.40,$86.20,$117.10
9,$68.08,$35.05,$47.40,$64.00,$77.15,$83.20,$88.60,$92.65,$125.80
10,$72.92,$37.60,$50.75,$68.90,$82.65,$88.90,$94.75,$99.10,$134.55
11,$76.74,$39.60,$54.80,$73.10,$86.95,$93.00,$99.10,$103.75,$140.85
12,$80.53,$41.55,$58.85,$77.30,$91.20,$97.15,$103.45,$108.35,$147.15
13,$84.34,$43.55,$62.90,$81.45,$95.50,$101.25,$107.80,$113.00,$153.45
14,$88.15,$45.55,$66.95,$85.65,$99.75,$105.40,$112.15,$117.60,$159.75
15,$91.95,$47.50,$71.00,$89.85,$104.05,$109.50,$116.50,$122.25,$166.10
16,$95.76,$49.50,$75.00,$94.05,$108.35,$113.60,$120.85,$126.85,$172.40
17,$99.56,$51.50,$79.05,$98.25,$112.60,$117.75,$125.20,$131.45,$178.70
18,$103.37,$53.50,$83.10,$102.40,$116.90,$121.85,$129.55,$136.10,$185.00
19,$107.16,$55.45,$87.15,$106.60,$121.15,$126.00,$133.90,$140.70,$191.30
20,$110.98,$57.45,$91.20,$110.80,$125.45,$130.10,$138.25,$145.35,$197.60
21,$115.43,$59.70,$95.70,$115.45,$130.45,$135.20,$143.55,$150.90,$205.10
22,$119.90,$62.00,$100.20,$120.10,$135.50,$140.25,$148.80,$156.45,$212.60
23,$124.36,$64.25,$104.70,$124.75,$140.50,$145.35,$154.10,$162.05,$220.15
24,$128.83,$66.55,$109.20,$129.40,$145.55,$150.45,$159.40,$167.60,$227.65
25,$133.27,$68.80,$113.70,$134.05,$150.55,$155.50,$164.65,$173.15,$235.15
26,$137.75,$71.10,$118.20,$138.70,$155.60,$160.60,$169.95,$178.70,$242.65
27,$142.20,$73.35,$122.70,$143.35,$160.60,$165.70,$175.25,$184.25,$250.15
28,$146.67,$75.65,$127.15,$148.00,$165.65,$170.75,$180.50,$189.85,$257.70
29,$151.12,$77.90,$131.65,$152.65,$170.65,$175.85,$185.80,$195.40,$265.20
30,$155.60,$80.20,$136.15,$157.30,$175.70,$180.95,$191.10,$200.95,$272.70
31,$160.04,$82.45,$140.65,$161.95,$180.70,$186.00,$196.35,$206.50,$280.20
32,$164.51,$84.75,$145.15,$166.60,$185.75,$191.10,$201.65,$212.05,$287.70
33,$168.97,$87.00,$149.65,$171.25,$190.75,$196.20,$206.95,$217.65,$295.25
34,$173.44,$89.30,$154.15,$175.90,$195.80,$201.25,$212.20,$223.20,$302.75
35,$177.89,$91.55,$158.65,$180.55,$200.80,$206.35,$217.50,$228.75,$310.25
36,$182.68,$93.95,$162.85,$185.50,$206.20,$212.05,$223.40,$234.85,$318.60
37,$187.29,$95.95,$166.90,$190.20,$211.35,$217.65,$229.25,$241.00,$326.95
38,$191.94,$98.20,$171.15,$195.05,$216.70,$223.00,$234.85,$247.00,$335.05
39,$196.61,$100.60,$175.35,$199.95,$221.90,$228.20,$240.30,$253.20,$343.45
40,$201.29,$102.80,$179.25,$204.85,$227.25,$233.80,$246.05,$259.30,$351.80
41,$207.53,$105.65,$184.95,$211.25,$234.20,$241.35,$253.90,$267.40,$362.75
42,$212.14,$107.50,$189.20,$216.05,$239.45,$246.95,$259.75,$273.45,$371.00
43,$216.87,$110.00,$193.25,$220.85,$244.70,$252.45,$265.40,$279.70,$379.35
44,$221.48,$111.95,$197.50,$225.75,$249.95,$257.90,$271.05,$285.75,$387.65
45,$226.10,$114.10,$201.65,$230.40,$255.05,$263.45,$276.80,$292.00,$396.15
46,$230.85,$116.35,$205.75,$235.50,$260.55,$268.90,$282.45,$298.10,$404.40
47,$235.56,$118.80,$209.90,$240.30,$265.75,$274.45,$288.20,$304.25,$412.75
48,$240.18,$120.90,$214.20,$245.05,$270.80,$280.00,$293.90,$310.40,$421.05
49,$244.87,$122.95,$218.20,$249.95,$276.10,$285.70,$299.80,$316.60,$429.50
50,$249.64,$125.60,$222.55,$254.85,$281.50,$291.05,$305.25,$322.70,$437.70
51,$254.13,$127.80,$226.80,$259.65,$286.60,$296.50,$310.95,$327.95,$444.90
52,$258.97,$130.05,$230.75,$264.40,$291.75,$302.30,$316.80,$335.05,$454.55
53,$263.64,$132.10,$235.05,$269.35,$297.05,$307.80,$322.50,$341.15,$462.80
54,$268.31,$134.50,$239.25,$274.10,$302.10,$313.30,$328.25,$347.30,$471.15
55,$273.20,$137.15,$244.75,$279.15,$307.45,$318.80,$333.80,$353.35,$479.40
56,$280.39,$141.20,$251.15,$286.35,$315.30,$327.05,$342.40,$362.70,$492.00
57,$285.14,$143.65,$255.40,$291.25,$320.55,$332.60,$348.10,$368.85,$500.30
58,$289.87,$146.15,$259.40,$296.05,$325.65,$338.35,$353.95,$375.05,$508.70
59,$294.53,$148.15,$263.60,$300.90,$330.90,$344.00,$359.70,$381.20,$517.10
60,$299.19,$150.15,$267.85,$305.85,$336.10,$349.55,$365.40,$387.40,$525.50
61,$303.94,$152.25,$272.15,$310.95,$341.55,$355.10,$371.10,$393.60,$533.90
62,$308.60,$154.65,$276.25,$315.70,$346.55,$360.65,$376.65,$399.90,$542.45
63,$313.40,$157.20,$280.45,$320.60,$351.80,$366.25,$382.55,$406.15,$550.90
64,$318.04,$159.30,$284.60,$325.40,$356.90,$371.90,$388.25,$412.35,$559.30
65,$322.80,$162.00,$288.85,$330.25,$362.10,$377.45,$393.80,$418.45,$567.60
66,$327.72,$165.00,$293.15,$335.30,$367.45,$383.00,$399.65,$424.60,$575.85
67,$332.32,$166.90,$297.30,$340.20,$372.70,$388.40,$405.10,$430.85,$584.40
68,$337.05,$169.10,$301.50,$345.05,$377.75,$394.25,$411.10,$437.15,$593.05
69,$341.77,$171.80,$305.80,$349.90,$382.90,$399.70,$416.65,$443.10,$601.10
70,$346.67,$174.95,$309.95,$354.85,$388.10,$405.30,$422.30,$449.35,$609.55
