,,,,,,,,,,
"Get the cheapest shipping rates for free!
Start shipping at www.pirateship.com",,,,,,,,,,
,,,,,,,,,,
USPS Priority Mail Regional Rate,,,,,,,,,,
2022 Pirate Ship Rates • Effective May 2022,,,,,,,,,,
,,,,,,,,,,
"Only applicable for USPS-supplied boxes that have ""Regional Rate"" printed on them.",,,,,,,,,,
1-3 day delivery and $100 insurance included. ,,,,,,,,,,
,,,,,,,,,,
Regional Rate is up to $1.35 more expensive than using your own packaging and making it as small as possible!,,,,,,,,,,
"Regional Rate is NEVER cheaper than using your own packaging, with savings increasing the smaller you can make it.",,,,,,,,,,
Compare Regional Rate to other Priority Mail services here,,,,,,,,,,
,,,,,,,,,,
Commercial Pricing - The cheapest rates USPS offers for this service!,,,,,,,,,,
"No Monthly Fees - No Markups - No Minimums - Pirate Ship is FREE because we get paid by the carriers, not by you!",,,,,,,,,,
,,,,,,,,,,
We can't advertise the highlighted rates because they're UP TO 92 CENTS CHEAPER than Commercial Pricing!,,,,,,,,,,
Create a free Pirate Ship account and get a quick rate quote to see how much you'll save on Priority Mail Regional Rate,,,,,,,,,,
May 2022 Rates,National Averages,0-150 miles,150-300 miles,300-600 miles,600-1000 miles,1000-1400 miles,1400-1800 miles,1800+ miles,Territories,
Regional Rate Box Type,,"L, 1 & 2",Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8,Zone 9,
A,Less than,Less than,Less than,Less than,Less than,Less than,,,,
,$10.25,$8.38,$8.58,$8.88,$9.55,$11.55,$12.32,$13.54,$26.37,
B,Less than,Less than,Less than,Less than,,,,,,
,$13.86,$8.88,$9.37,$10.12,$12.47,$16.61,$19.59,$22.51,$44.02,
