,,,,,,,,
2022 USPS Shipping Rates,,,,,,,,
2022 Pirate Ship Rates • Effective May 2022,,,,,,,,
,,,,,,,,
"Pirate Ship passes through the cheapest rates USPS offers, with discounts up to 89% off retail prices.",,,,,,,,
The United States Postal Service offers two different pricing tiers: Retail Pricing and Commercial Pricing.,,,,,,,,
NEW DISCOUNTS! Pirate Ship now offers up to $1.02 BELOW Commercial Pricing for Priority Mail.,,,,,,,,
,,,,,,,,
Pirate Ship also offers deeply discounted UPS® rates. Compare UPS and USPS rates here!,,,,,,,,
,,,,,,,,
Pirate Ship's historical data is used to estimate national average costs for each USPS service.,,,,,,,,
These national average costs will be in,,,YELLOW,in the applicable rate sheets.,,,,
Your average costs will differ depending on which zones you ship to.,,,,,,,,
,,,,,,,,
Any questions? Chat with us on pirateship.com,,,,,,,,
,,,,,,,,
"These national zone averages are used to 
create average cost forecasts in the applicable rate sheets:",0-150 miles,150-300 miles,300-600 miles,600-1000 miles,1000-1400 miles,1400-1800 miles,1800+ miles,Territories
,"L, 1 & 2",Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8,Zone 9
,21%,8%,15%,19%,12%,9%,16%,0%
,,,,,,,,
"To view the 2022 USPS rates, click the Service Name below.",,,,,,,,
Service,Summary,,,,,,,
First Class Package (View Rates)," The cheapest service for packages that weigh 15.99 ounces or less, with 1-3 day delivery.",,,,,,,
Priority Mail Cubic (View Rates),"NEW RATES BELOW COMMERCIAL PRICING! Rates are based on dimensions, not weight, so you can ship up to 20 pounds for no extra cost. 1-3 day delivery and $100 insurance included.",,,,,,,
Priority Mail Flat Rate (View Rates),NEW RATES BELOW COMMERCIAL PRICING! But still only a better deal than Priority Mail Cubic if you use a Small Flat Rate Box or any Flat Rate Envelope.,,,,,,,
Weight-Based Priority Mail (View Rates),"NEW RATES BELOW COMMERCIAL PRICING! Pirate Ship will automatically pick Cubic or Weight-Based Priority Mail depending on which is cheaper for your package's weight, size, and destination.",,,,,,,
Priority Mail Regional Rate (View Rates),NEW RATES BELOW COMMERCIAL PRICING! But never cheaper than using your own similar-sized packaging... especially if you can use a smaller box!,,,,,,,
Priority Mail Service Comparison (View Rates),Not sure which Priority Mail sub-service is cheapest for your situation? This rate comparison can help!,,,,,,,
Parcel Select Ground (View Rates),"The cheapest shipping rates USPS offers for packages that weigh more than 1 pound. With 2-8 day delivery estimates, if your shipments aren't time-sensitive it's well worth the savings!",,,,,,,
Priority Mail Express (View Rates),"The fastest service USPS offers, with guaranteed 1-day delivery in urban areas and 2-day delivery to/from rural areas.",,,,,,,
Media Mail (View Rates),"If you only ship educational materials (books, music, or films, no other products or advertising) this is the cheapest way to ship! But USPS may inspect your boxes to verify the contents are allowed.",,,,,,,
Signature Confirmation (View Rates),"If your package could be stolen from a porch, add a signature service so delivery is guaranteed.",,,,,,,
Simple Export Rate® (View Rates),EXCLUSIVE! Save up to 50% with Pirate Ship's incredible discounts on international shipping up to 4 lbs.,,,,,,,
First Class Package International (View Rates),The cheapest rates USPS offers for international shipments that weigh less than 4 lbs… but Simple Export Rate will always be cheaper!,,,,,,,
Priority Mail International (View Rates),"If your international shipments are over 4 lbs, or if you want them to arrive faster within 6-10 days, this is the cheapest service USPS offers.",,,,,,,
Priority Mail Express International (View Rates),"If you want your international shipments to arrive as fast as possible via the destination country's local Postal Service, this is a great choice!",,,,,,,
Shipping Insurance (View Rates),Add 3rd-party insurance to your shipment to get reimbursed if it's damaged or goes missing.,,,,,,,
