,,,,,,,,,,,,,,,,,,,,
"Get the cheapest shipping rates for free!
Start shipping at www.pirateship.com",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
USPS First Class Package International,,,,,,,,,,,,,,,,,,,,
"USPS Commercial Pricing Rates • Effective January 22nd, 2023",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"The most affordable USPS service for packages that weigh less than 4 lbs, delivered in 1-4 weeks depending on the receiving country's postal service.",,,,,,,,,,,,,,,,,,,,
Chat with our customer support to request our exclusive Simple Export Rate service & save up to 55% off these rates!,,,,,,,,,,,,,,,,,,,,
"We recommend adding a Declared Value to purchase insurance, just in case packages are lost or damaged.",,,,,,,,,,,,,,,,,,,,
"Use the ""International Country Codes"" to determine which group each country is in.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Commercial Pricing - The cheapest rates USPS offers for this service!,,,,,,,,,,,,,,,,,,,,
"No Monthly Fees - No Markups - No Minimums - Pirate Ship is FREE because we get paid by the carriers, not by you!",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Rates,Canada,Mexico,E. Europe +,Pacific +,Africa,Americas 1,Europe 1,Europe 2,Europe 3,Indo-Asia,Americas 2,Australia +,Brazil,China,France +,Germany,Japan,HK + Korea,Russia,UK
Weight Not Over,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1-8 oz,$14.96,$15.44,$16.44,$15.96,$15.96,$15.96,$15.49,$16.77,$18.53,$16.53,$16.44,$19.33,$20.62,$17.01,$16.25,$16.25,$18.00,$18.72,$15.72,$17.96
9-32 oz,$22.23,$22.75,$31.92,$32.78,$32.73,$29.31,$25.60,$26.65,$29.64,$26.65,$30.21,$35.25,$31.64,$27.41,$25.60,$25.60,$29.02,$27.41,$26.65,$27.31
33-48 oz,$32.92,$33.39,$48.07,$46.55,$44.65,$44.41,$41.80,$42.85,$46.50,$42.89,$42.89,$55.81,$47.74,$42.51,$41.56,$41.56,$45.03,$44.18,$42.51,$42.51
49-64 oz,$37.74,$38.19,$55.65,$58.61,$54.32,$52.29,$49.59,$54.48,$56.53,$51.37,$51.37,$59.19,$56.07,$50.83,$49.59,$49.59,$53.82,$50.83,$51.37,$48.09
