,,,,,,,,
"Get the cheapest shipping rates for free!
Start shipping at www.pirateship.com",,,,,,,,
,,,,,,,,
USPS Priority Mail Flat Rate,,,,,,,,
"USPS 2023 Rates • Effective January 22nd, 2023",,,,,,,,
,,,,,,,,
"Only available for USPS-supplied boxes & envelopes marked with ""Flat Rate""",,,,,,,,
Use the specific package type to get that specific postage rate.,,,,,,,,
1-3 day delivery and $100 insurance included. ,,,,,,,,
,,,,,,,,
BELOW Commercial Pricing - The cheapest rates available for this service!,,,,,,,,
"No Monthly Fees - No Markups - No Minimums - Pirate Ship is FREE because we get paid by the carriers, not by you!",,,,,,,,
,,,,,,,,
With Pirate Ship you'll get secret rates that are UP TO 95 CENTS cheaper than Commercial Pricing!,,,,,,,,
Create a free Pirate Ship account and get a quick rate quote to see how much you'll save on Priority Mail Flat Rate,,,,,,,,
Priority Mail Flat Rate Package Type,Rates,,,,,,,
Flat Rate Envelopes,"Less than
$8.05",,,,,,,
Legal Flat Rate Envelope,"Less than
$8.35",,,,,,,
Padded Flat Rate Envelope,"Less than
$8.80",,,,,,,
Small Flat Rate Box,"Less than
$8.55",,,,,,,
Medium Flat Rate Boxes,"Less than
$14.75",,,,,,,
Large Flat Rate Boxes,"Less than
$19.90",,,,,,,
